Name,Type,Subtype,Redshift,RA,Dec,Tmax,Magmax,Filtmax
SN2016adj,SESNe,SNIb,,201.350458,-43.015972,,,
SN2004dk,SESNe,SNIb,,,,53235.76725795455,15.810636685463397,B
SN2019tsf,SESNe,SNIb,0.03,167.136667,-10.481789,,,
SN2010O,SESNe,SNIb,,,,,,
SN2022crv,SESNe,SNIb,0.008091,148.607958,-25.7031,59654.18783494515,15.447414825803357,o
SN2007C,SESNe,SNIb,,,,54118.3,16.746993252603993,g
SN2021uhk,SESNe,SNIb,0.035,351.556647524,1.14557090358,59437.25407452883,18.807624990241266,g
SN2019yvr,SESNe,SNIb,0.005,191.283897036,-0.459120025663,58854.10919181877,16.06244324876357,g
SN2023dtc,SESNe,SNIb,0.006,128.323125,-22.962519,60036.148287000135,17.515726906789265,g
SN2019dge,SESNe,SNIb,0.0213,264.1947591,50.5478107,58583.72782791658,18.514179045033657,g
SN2019dgz,SESNe,SNIb,0.0364,184.0191724,29.8516983,58591.2680813086,19.200746122468168,g
SN2012au,SESNe,SNIb,0.006,8.690375,-8.386711,,,
SN2009jf,SESNe,SNIb,0.0052,185.728875,15.8236,55121.24505656162,15.0702194298846,V
SN2019oys,SESNe,SNIb,0.016501,106.996917,31.665361,,,
SN2018beh,SESNe,SNIb,0.051,142.8459727,17.8077,58250.910498,17.77129500308288,V
SN2007uy,SESNe,SNIb,0.00758,230.388939897,-13.0893829206,54480.34304307321,15.74591691418898,V
SN2022nyo,SESNe,SNIb,0.026,185.069292,-40.394381,59778.60032984493,16.751652285197263,o
SN2021niq,SESNe,SNIb,0.017578,234.0279695,43.4059958,59368.390577875325,19.35943589030788,g
SN2011am,SESNe,SNIb,0.0023,167.913458,55.674719,55634.93123651515,16.72675731092342,V
SN2021gno,SESNe,SNIb,0.006211,183.042875,13.249181,59305.56318551056,17.49515786162694,g
SN2022hgk,SESNe,SNIb,0.033,212.598667,44.233681,59719.49550269742,18.5037680925394,g
SN2020hvp,SESNe,SNIb,0.005247,245.439125,-2.289269,58976.11913072734,15.616503994803644,g
SN2006dn,SESNe,SNIb,0.053,127.2227503,1.1107514,,,
SN2017bgu,SESNe,SNIb,0.008,253.997852235,42.5600231429,57813.685925949496,15.765782804233334,V
SN2016bau,SESNe,SNIb,0.003856,170.245917,53.173778,57483.97462290909,15.927507846387066,V
SN2010cn,SESNe,SNIb,0.00639,235.488752722,0.710958685627,55330.99892317172,17.455277757462753,V
SN2003gk,SESNe,SNIb,0.02751,137.179047394,44.8127901672,,,
SN2019ehk,SESNe,SNIb,0.0043,185.733958,15.826119,58611.402468750006,16.654091316203587,c
SN2008bo,SESNe,SNIb,,,,54568.60909145959,16.131088887179224,V
SN2022ryd,SESNe,SNIb,0.01,299.656375,2.599931,59824.32349377101,17.921658425751087,c
SN2018alc,SESNe,SNIb,0.0181,218.3332885,41.2672955,58215.13531613846,16.625247642490773,o
SN2022ngb,SESNe,SNIIb,0.009,284.2145,36.618839,59772.29063576007,16.74223392663918,g
SN2019wxt,SESNe,SNIIb,0.036,28.9247527006,31.4179294413,,,
SN2020sbw,SESNe,SNIIb,0.023033,41.5138246463,3.32990662903,59100.63095900752,18.69982321758331,g
SN2009mg,SESNe,SNIIb,0.004,63.023042,-32.862369,55189.40591159596,15.61578639376763,V
SN2021uqw,SESNe,SNIIb,0.028019,328.497611052,6.6975154457,59432.534540149936,17.980358589848503,r
SN2011hs,SESNe,SNIIb,,,,55887.92148458402,15.81004615782506,V
SN2020rsc,SESNe,SNIIb,0.0313,19.9854288,38.1860177,59097.28500388025,20.22179765090346,r
SN2022hnt,SESNe,SNIIb,0.0192,174.24897524285714,55.1639571,59707.184634601246,17.914210235088387,o
SN2021ybc,SESNe,SNIIb,0.02925,37.329277271,-4.68175629635,59474.27072238748,18.55870447663964,g
SN2016gkg,SESNe,SNIIb,0.0049,23.560167,-29.440061,57670.5156305,14.871112708860196,V
SN2021sjt,SESNe,SNIIb,0.00475,309.33000691667,66.106417016667,59409.09402966283,18.256752588049693,c
SN2022eji,SESNe,SNIIb,0.017,122.605083,34.004361,59662.08083669509,17.158556023129616,c
SN2020acat,SESNe,SNIIb,0.0079,177.67177066,-10.2274777238,59205.53091439977,15.280541358093403,g
SN2016bmd,SESNe,SNIIb,0.0142,110.10125,32.850333,57505.34331474242,16.057920247714495,V
SN2006T,SESNe,SNIIb,0.008091,148.607958,-25.7031,53779.835380348944,16.065579237313095,g
SN2019gaf,SESNe,SNIIb,0.006,309.2301634,2.8068387,58646.16218013938,17.16842224053935,o
SN2009gj,SESNe,SNIIb,0.0181,218.3332885,41.2672955,,,
SN2009mk,SESNe,SNIIb,0.005247,245.439125,-2.289269,55191.16218064646,16.39725810424452,V
SN2020xlt,SESNe,SNIIb,0.038,124.29713695,64.5263386,59141.95699048101,19.776045483887373,g
SN2020ikq,SESNe,SNIIb,0.037,204.020901072,28.9833628928,58970.46917415926,18.3122667584888,g
SN2021pb,SESNe,SNIIb,0.03317803,146.195042368,51.6873680481,59231.36138523554,19.273637130157223,g
SN2021bxu,SESNe,SNIIb,0.0178,32.3185608926,-23.4126115112,,,
SN2023aew,SESNe,SNIIb,0.025,265.214042,66.206319,60073.28420139989,16.78146146719838,g
SN2020fqv,SESNe,SNIIb,0.007522,189.138583,11.231631,58956.1254207629,16.48534931336995,g
SN2020jfv,SESNe,SNIIb,0.01709,346.648958,0.612111,,,
SN2011cb,SESNe,SNIIb,0.01,299.656375,2.599931,,,
SN2022qzr,SESNe,SNIIb,0.019,2.47916889539,-5.02113501947,59820.55396799558,17.405167254391127,g
SN2017ati,SESNe,SNIIb,0.016,147.48625,67.183211,,,
SN2023mut,SESNe,SNIIb,0.0022,72.1431153216,0.24675252416,,,
SN2019hte,SESNe,SNIIb,0.08528,218.5566602,21.6016366,58661.27150434895,17.9002763388518,r
SN2019rn,SESNe,SNIIb,0.013,34.4983692878,14.5334508892,58514.14935189998,16.93729521297387,g
SN2016iae,SESNe,SNIc,0.004,63.023042,-32.862369,57711.48282219999,14.842639930159596,o
SN2021do,SESNe,SNIc,0.009346,154.235508012,73.3974807308,59226.70950314237,17.284157343311236,g
SN2012cw,SESNe,SNIc,0.006,128.323125,-22.962519,,,
SN2007D,SESNe,SNIc,,,,,,
SN2015fn,SESNe,SNIc,0.0549,37.58355,37.23519,,,
SN2018lei,SESNe,SNIc,0.006,38.39334,-39.0459,,,
SN2020sgf,SESNe,SNIc,0.02208,50.719833,42.556131,59121.01562908611,18.765425686314515,g
SN2010gx,SESNe,SNIc,0.01709,346.648958,0.612111,55282.18642090909,18.44575779127379,r
SN2021afuq,SESNe,SNIc,0.009,156.967290323,-43.9019903226,,,
SN2021dwg,SESNe,SNIc,0.026,214.566537996,0.888429994766,59290.99578251758,17.556803535764754,o
SN2005ek,SESNe,SNIc,0.006,309.2301634,2.8068387,,,
SN2009mi,SESNe,SNIc,0.08528,218.5566602,21.6016366,,,
SN2019yz,SESNe,SNIc,0.00639,235.488752722,0.710958685627,58516.66797966667,15.745660419175769,o
SN2019cad,SESNe,SNIc,0.02751,137.179047394,44.8127901672,58596.614547733145,17.744435780103288,g
SN2010ah,SESNe,SNIc,0.037,204.020901072,28.9833628928,,,
SN2020lbh,SESNe,SNIc,0.015,205.854210491,35.1841045345,59015.20989543086,18.220089066970395,o
SN2018avk,SESNe,SNIc,0.132,197.865625,65.6381,,,
SN2023dbc,SESNe,SNIc,0.0023,167.913458,55.674719,60030.883232548425,16.55390921206024,o
SN2018kzr,SESNe,SNIc,0.053,127.2227503,1.1107514,,,
SN2005da,SESNe,SNIc,0.03317803,146.195042368,51.6873680481,,,
SN2022epu,SESNe,SNIc,0.031,228.691862,31.223633,59651.39154866982,17.64339057348872,o
SN2020able,SESNe,SNIc,0.024755,141.509425482,24.521685394,59200.529648237374,16.299239957168975,V
SN2011it,SESNe,SNIc,0.0079,177.67177066,-10.2274777238,,,
